SiteId,SiteName,SiteUrl,PageUrl,PageTitle,Depth,InternalLinksDiscovered,EmbedCount,CrawlStatus
1ghhRouKA2A2b2yazASdogDFjWPLp4qV2,Google Requests,https://sites.google.com/d/1ghhRouKA2A2b2yazASdogDFjWPLp4qV2/edit,https://sites.google.com/d/1ghhRouKA2A2b2yazASdogDFjWPLp4qV2/edit,Google Drive: Sign-in,0,0,1,Success
1YgwyRBk1dUEyfGDB5eYfBRc5cv2fJoBs,Untitled site,https://sites.google.com/d/1YgwyRBk1dUEyfGDB5eYfBRc5cv2fJoBs/edit,https://sites.google.com/d/1YgwyRBk1dUEyfGDB5eYfBRc5cv2fJoBs/edit,Google Drive: Sign-in,0,0,1,Success
1DmyjqecunNljgk5UDBoeQmcp7az-hmN7,Untitled site,https://sites.google.com/d/1DmyjqecunNljgk5UDBoeQmcp7az-hmN7/edit,https://sites.google.com/d/1DmyjqecunNljgk5UDBoeQmcp7az-hmN7/edit,Google Drive: Sign-in,0,0,1,Success
1RY8Djr0NVQ42h7sn7rpyUR_dJCYO9sOG,Gmail Best practices and Common errors,https://sites.google.com/d/1RY8Djr0NVQ42h7sn7rpyUR_dJCYO9sOG/edit,https://sites.google.com/d/1RY8Djr0NVQ42h7sn7rpyUR_dJCYO9sOG/edit,Google Drive: Sign-in,0,0,1,Success
1_J6bzHX0qN9JQQFk0S9kSQDCP3T7OYmU,test not shared,https://sites.google.com/d/1_J6bzHX0qN9JQQFk0S9kSQDCP3T7OYmU/edit,https://sites.google.com/d/1_J6bzHX0qN9JQQFk0S9kSQDCP3T7OYmU/edit,Google Drive: Sign-in,0,0,1,Success
1Fv9dassf3JU2Jf7zRT0oApdSI9ZFRVQM,"Messaging, Realtime & Web conferencing Releases — Converted from Classic Sites",https://sites.google.com/d/1Fv9dassf3JU2Jf7zRT0oApdSI9ZFRVQM/edit,https://sites.google.com/d/1Fv9dassf3JU2Jf7zRT0oApdSI9ZFRVQM/edit,Google Drive: Sign-in,0,0,1,Success
1rvJHO3hpqVWTNvlZquWRstLAACRAy26E,Boost Your Talent,https://sites.google.com/d/1rvJHO3hpqVWTNvlZquWRstLAACRAy26E/edit,https://sites.google.com/d/1rvJHO3hpqVWTNvlZquWRstLAACRAy26E/edit,Google Drive: Sign-in,0,0,1,Success
1usWcyZHBMzl7hjHEcFg9De0H4a5tImzb,Test New Sites Fernando,https://sites.google.com/d/1usWcyZHBMzl7hjHEcFg9De0H4a5tImzb/edit,https://sites.google.com/d/1usWcyZHBMzl7hjHEcFg9De0H4a5tImzb/edit,Google Drive: Sign-in,0,0,1,Success
1NYrddo5DHf9MACaQ7gF-YP3yKr7a7G4m,Test para convertir a nuevo gsites — Converted from Classic Sites,https://sites.google.com/d/1NYrddo5DHf9MACaQ7gF-YP3yKr7a7G4m/edit,https://sites.google.com/d/1NYrddo5DHf9MACaQ7gF-YP3yKr7a7G4m/edit,Google Drive: Sign-in,0,0,1,Success
1Mrj-t_XnnHXAVABFR0dnGICrwifnoMK9,Copy of DME site,https://sites.google.com/d/1Mrj-t_XnnHXAVABFR0dnGICrwifnoMK9/edit,https://sites.google.com/d/1Mrj-t_XnnHXAVABFR0dnGICrwifnoMK9/edit,Google Drive: Sign-in,0,0,1,Success
1qL_D0qQMy-qmEikW0rIe_fKss6ClEyJP,Copy of Informatics Campus,https://sites.google.com/d/1qL_D0qQMy-qmEikW0rIe_fKss6ClEyJP/edit,https://sites.google.com/d/1qL_D0qQMy-qmEikW0rIe_fKss6ClEyJP/edit,Google Drive: Sign-in,0,0,1,Success
1EBRyipto9CBZ42b3eat7GTe5VRrMU37-,asdfasite,https://sites.google.com/d/1EBRyipto9CBZ42b3eat7GTe5VRrMU37-/edit,https://sites.google.com/d/1EBRyipto9CBZ42b3eat7GTe5VRrMU37-/edit,Google Drive: Sign-in,0,0,1,Success
1wmusANhQYxTl7zpASD5kml63rBcCfpva,Drag & Drop - solution presentation,https://sites.google.com/d/1wmusANhQYxTl7zpASD5kml63rBcCfpva/edit,https://sites.google.com/d/1wmusANhQYxTl7zpASD5kml63rBcCfpva/edit,Google Drive: Sign-in,0,0,1,Success
17yjYlnomW0KNA7yOtziLyt1U6OEnaLKG,"G Suite Factory | Collection of ""Notebooks""",https://sites.google.com/d/17yjYlnomW0KNA7yOtziLyt1U6OEnaLKG/edit,https://sites.google.com/d/17yjYlnomW0KNA7yOtziLyt1U6OEnaLKG/edit,Google Drive: Sign-in,0,0,1,Success
