"SiteId","SiteName","SiteUrl","PageCount","MaxDepth","ErrorPages","EmbedCount","PagesWithEmbeds","ExternalDomainCount","PermissionRows","PublicPermissionRows","DomainPermissionRows","GroupPermissionRows","UserPermissionRows","ExternalPrincipalRows","StructurePoints","EmbedPoints","SecurityPoints","TotalScore","Rating","Recommendation"
"1o-cyf6cm37PVbM-yvF-q3jXa_W4zQyOK","DME site","https://sites.google.com/d/1o-cyf6cm37PVbM-yvF-q3jXa_W4zQyOK/edit","1","0","0","1","1","4","9","0","0","0","9","0","1","11","0","12","Low","Direct migration candidate"
"1etBOHM8uZTIBczgRuo9iRJbokN03ukg6","Untitled site","https://sites.google.com/d/1etBOHM8uZTIBczgRuo9iRJbokN03ukg6/edit","1","0","0","1","1","4","1","0","0","0","1","1","1","11","2","14","Low","Direct migration candidate"
"1gqumSZ_5gRjfVP0e90p1yzq2WbdJpkKA","Test","https://sites.google.com/d/1gqumSZ_5gRjfVP0e90p1yzq2WbdJpkKA/edit","1","0","0","1","1","4","2","0","1","0","1","2","1","11","5","17","Low","Direct migration candidate"
"1BJtPGiy8Eauuyl4WD02jOS1RC6KvZ1db","Project","https://sites.google.com/d/1BJtPGiy8Eauuyl4WD02jOS1RC6KvZ1db/edit","1","0","0","1","1","4","1","0","0","0","1","1","1","11","2","14","Low","Direct migration candidate"
"1D4G-ZHHBJSig-Qd10BBIMC6HP8x3W4RN","Help centre","https://sites.google.com/d/1D4G-ZHHBJSig-Qd10BBIMC6HP8x3W4RN/edit","1","0","0","1","1","4","2","0","1","0","1","0","1","11","1","13","Low","Direct migration candidate"
"1mAaR_DoyZyr5NXDtgiiIPHXEnRVIaVyg","targ IFNa iMab","https://sites.google.com/d/1mAaR_DoyZyr5NXDtgiiIPHXEnRVIaVyg/edit","1","0","0","1","1","4","10","0","0","0","10","0","1","11","0","12","Low","Direct migration candidate"
"1WSEYFAet8mLQCt4YFaA7e1IjhY8iXN7u","emea-crm-frontend — Converted from Classic Sites","https://sites.google.com/d/1WSEYFAet8mLQCt4YFaA7e1IjhY8iXN7u/edit","1","0","0","1","1","4","1","0","0","0","1","1","1","11","2","14","Low","Direct migration candidate"
"1U8mMU3Ux3-hGhWdcYEjnXVlKAA83J0Lo","Simplifi Learning Journey","https://sites.google.com/d/1U8mMU3Ux3-hGhWdcYEjnXVlKAA83J0Lo/edit","1","0","0","1","1","4","17","0","1","0","16","0","1","11","1","13","Low","Direct migration candidate"
"1UwIw3473VGhywZ-Ihpgkcgs-iNsJ6B1h","Roche Template","https://sites.google.com/d/1UwIw3473VGhywZ-Ihpgkcgs-iNsJ6B1h/edit","1","0","0","1","1","4","1","0","0","0","1","0","1","11","0","12","Low","Direct migration candidate"
"1F5Al_DxZjA8TLuPnO1UXk3f0pvziT1Up","Untitled site","https://sites.google.com/d/1F5Al_DxZjA8TLuPnO1UXk3f0pvziT1Up/edit","1","0","0","1","1","4","2","0","1","0","1","0","1","11","1","13","Low","Direct migration candidate"
"1s52lpzSk-9_WuvKS2Ln6SEXnq2IZ6w7s","Project","https://sites.google.com/d/1s52lpzSk-9_WuvKS2Ln6SEXnq2IZ6w7s/edit","1","0","0","1","1","4","2","0","1","0","1","0","1","11","1","13","Low","Direct migration candidate"
"1KPHMkA4c3WCBRcUvWu7nIGIKFgulvE41","Izzati Test","https://sites.google.com/d/1KPHMkA4c3WCBRcUvWu7nIGIKFgulvE41/edit","1","0","0","1","1","4","2","0","1","0","1","0","1","11","1","13","Low","Direct migration candidate"
